col_idx,col_letter,header,sample_value,formula
42,AP,A_BBHighLowDays,6.14,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$BE:$BE,"""")"
43,AQ,BBHighDays,6,=TRUNC(AP2)
44,AR,BBLowDays,13.999999999999968,=ABS(100*(AP2-AQ2))
45,AS,A_BB_Streak,8213.01,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$BC:$BC,"""")"
46,AT,BB_Streak_1,8213,=TRUNC(AS2)
47,AU,BB_Streak_2,213,=AT2-AY2*1000
48,AV,BB_Streak_cur,2,=ABS(TRUNC(AU2/100))
49,AW,BB_Threshold_Crossover,1,"=IF(AV2=1,-1,1)"
50,AX,BBThresh_CO_Days,13,"=_xlfn.NUMBERVALUE(RIGHT(AU2,2))"
51,AY,BB_Streak,8,=TRUNC(AT2/1000)
52,AZ,BB_Streak_Days,1,"=ROUND((ABS(AS2)-ABS(AT2))*100,0)"
53,BA,A_3mnLow,71.4,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AY:$AY,"""")"
54,BB,3mnLow_sd,5.638888888888888,=(D2-BA2)/AC2
55,BC,3mnLowDays,40.00000000000057,"=IF(AND(BA2<1,BA2>-1),100*BA2,100*MOD(BA2,TRUNC(BA2)))"
56,BD,A_3mnHigh,97.54,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AX:$AX,"""")"
57,BE,3mnHigh_sd,-0.41203703703703726,=(D2-BD2)/AC2
58,BF,3mnHighDays,54.000000000000625,"=IF(BD2<1,0,100*MOD(BD2,TRUNC(BD2)))"
59,BG,3mn_min_BRR%,93.19051262433052,"=IF(D2<BD2,(D2-BA2)*100/(BD2-BA2),0)"
60,BH,A_3mnHighLow,-71.4,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AZ:$AZ,"""")"
61,BI,3mnHighLow,71.4,=ABS(BH2)
62,BJ,3mn_stk_outlook_sd,5.638888888888888,=(D2-BI2)/AC2
63,BK,3mnHighLowDays,40.00000000000057,"=-100*IFERROR(MOD(BH2,TRUNC(BH2)),0)"
64,BL,A_3wkHighLow,-77.13,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$BA:$BA,"""")"
65,BM,3wkHighLow,77.13,=ABS(BL2)
66,BN,3w_stk_outlook_sd,4.312500000000002,=(D2-BM2)/AC2
67,BO,3wkHighLowDays,12.999999999999545,"=IFERROR(-100*MOD(BL2,TRUNC(BL2)),0)"
68,BP,Perf3M,9.829108842757204,=100*(D2-AE2)/AE2
69,BQ,Perf3M_sd,1.9837962962962978,=(D2-AE2)/AC2
70,BR,A_Perf2M,29.51,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AU:$AU,"""")"
71,BS,Perf2M_sd,6.541383333333335,=BR2/(AD2*100)
72,BT,Perf3W,24.33134250843938,=100*(D2-AF2)/AF2
73,BU,Perf3W_sd,4.337962962962965,=(D2-AF2)/AC2
74,BV,A_Perf2Wk,7.56,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AV:$AV,"""")"
75,BW,Perf2Wk_sd,1.6758000000000002,=BV2/(AD2*100)
76,BX,A_Perf3D,4.05,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AW:$AW,"""")"
77,BY,Perf3D_sd,0.89775,=BX2/($AD2*100)
78,BZ,Perf3D_Value,92.03267659778953,=(100*D2)/(100+BX2)
79,CA,Perf1D_sd,1.0694444444444444,=G2/AC2
80,CB,Perf,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da80580>
81,CC,52Low,69.15,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AI:$AI,"""")"
82,CD,52High,97.58,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AH:$AH,"""")"
83,CE,52-Wk High %,6.401688357368954,"=IF((CD2-CC2)=0,0, (CD2-D2)*100/(CD2-CC2))"
84,CF,20 DMA,86.92,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$H:$H,"""")"
85,CG,50 DMA,82.11,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$I:$I,"""")"
86,CH,200 DMA,82.69,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$J:$J,"""")"
87,CI,A_MACD_BRR,1,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$V:$V,"""")"
88,CJ,MACD_BRR,1,=ABS(CI2)
89,CK,A_MACDH_D_BRR,0.81,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$W:$W,"""")"
90,CL,MACDH_BRR,0.81,=ABS(CK2)
91,CM,A_MACDays_Streak,1,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AM:$AM,"""")"
92,CN,D_Last,95.76,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AP:$AP,"""")"
93,CO,D_%Change,0.0507,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AR:$AR,"""")"
94,CP,D_Net Chng,4.62,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AQ:$AQ,"""")"
95,CQ,D_Open,91.685,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AS:$AS,"""")"
96,CR,D_High,96.51,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AT:$AT,"""")"
97,CS,D_Low,91.02,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AU:$AU,"""")"
98,CT,D_RSI,69.17,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$T:$T,"""")"
99,CU,D_IV,0.59,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AB:$AB,"""")"
100,CV,D_HV,0.46,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$X:$X,"""")"
101,CW,HVPercentile,74.1,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$R:$R,"""")"
102,CX,IVPercentile,96.4,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$Q:$Q,"""")"
103,CY,L_Last,95.76,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$L:$L,"""")"
104,CZ,L_Net Chng,4.62,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$M:$M,"""")"
105,DA,L_%Change,0.0507,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$N:$N,"""")"
106,DB,L_Open,91.685,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$O:$O,"""")"
107,DC,L_High,96.51,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$P:$P,"""")"
108,DD,L_Low,91.02,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$Q:$Q,"""")"
109,DE,L_RSI,69.17,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$S:$S,"""")"
110,DF,L_ImpVolatility,0.59,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$H:$H,"""")"
111,DG,Y_Last Price,95.76,"=_xlfn.XLOOKUP($R2&$C2,Y!$D:$D,Y!$K:$K,"""")"
112,DH,Y_Change,4.62,"=_xlfn.XLOOKUP($R2&$C2,Y!$D:$D,Y!$L:$L,"""")"
113,DI,Y_Change(%),0.0507,"=_xlfn.XLOOKUP($R2&$C2,Y!$D:$D,Y!$M:$M,"""")"
