Date,Time,Symbol,Last,%Change,Sector,Beta,StandardDeviation,Free Cash Flow Per Share - Current (LTM),52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays,Market Cap
05/22/2026,1630,AMAT,432.16,+1.12%,Information Technology,1.672,11.58,$6.72,448.45,153.47,416.22,388.98,287.24,3.0,-0.56,0.44,"4,887,772",100261.06,6708544.33,6783843.75,-3.45,15.55,-0.75,6.21,448.09,317.53,448.09,448.09,56.0,"342,966 M"
05/22/2026,1630,AMBA,87.55,+4.67%,Information Technology,2.202,3.74,$1.36,96.69,48.3,75.9,63.21,71.78,3.0,0.99,0.71,"1,030,623",0.0,820246.26,890655.61,32.62,60.55,14.74,14.16,83.07,48.38,-48.38,-64.17,3.0,"3,840 M"
05/22/2026,1630,AMD,467.51,+3.99%,Information Technology,2.314,27.86,$5.27,481.41,107.6671,405.9,303.19,230.88,1.0,0.85,0.25,"34,621,619",300369.13,3.910452232E7,3.872522642E7,-17.57,127.64,2.71,12.91,469.09,188.57,-188.57,-319.17,49.0,"762,322 M"
05/22/2026,1630,AMG,301.96,-0.22%,Financials,1.144,3.38,$37.82,334.78,172.54,298.34,288.92,272.5,3.0,0.54,0.46,"262,539",0.0,338020.0,350888.25,-29.64,9.58,-0.28,2.39,319.6,254.35,-254.35,318.15,46.0,"7,975 M"
05/22/2026,1630,AMH,32.27,+0.50%,Real Estate,.8174,0.49,$2.25,38.01,27.215,31.76,30.13,31.71,5.0,0.79,0.29,"2,137,555",0.0,3175043.46,3737805.39,-42.3,17.09,0.75,1.77,33.11,27.44,33.11,-30.05,46.0,"11,636 M"
05/22/2026,1630,AMLP,54.52,+0.63%,,.5025,0.58,<empty>,55.22,44.64,53.68,52.91,49.4,-3.0,0.75,-0.62,"861,357",-100016.37,1582975.41,1558543.71,-49.39,1.85,2.56,-0.58,54.13,51.25,-51.25,55.02,NaN,"12,837 M"
05/22/2026,1630,AMN,27.66,+7.84%,Health Care,.3147,3.21,$18.27,31.65,14.865,25.23,21.51,19.34,-7.0,-0.79,-0.3,"1,106,319",200472.1,1024715.61,1104819.54,45.92,49.59,-4.52,2.75,32.09,17.35,32.09,32.09,51.0,"1,073 M"
05/22/2026,1630,AMPH,18.41,+1.38%,Health Care,.8902,2.47,$2.88,31.2641,16.645,20.01,20.22,24.92,5.0,0.48,0.57,"485,196",100060.02,594901.75,635317.8,-0.4,-4.26,-3.11,3.31,28.62,17.04,-17.04,-17.04,51.0,812 M
05/22/2026,1630,AMZN,266.32,-0.80%,Consumer Discretionary,1.446,4.09,($0.23),278.56,196.0,267.1,241.92,230.55,3.0,-0.67,0.26,"27,444,688",-100334.17,4.459364165E7,4.524703804E7,-44.09,28.51,-2.33,2.69,279.13,199.39,279.13,-255.03,46.0,"2,864,833 M"
05/22/2026,1630,AN,189.98,+1.90%,Consumer Discretionary,.7589,9.02,($2.85),228.9166,176.25,196.97,196.06,206.06,3.0,0.15,0.29,"310,339",-100334.16,398511.75,410460.61,-42.31,0.17,-7.76,6.38,218.15,178.03,218.15,-177.02,47.0,"6,357 M"
05/22/2026,1630,AQWA,18.675,+0.65%,,.9081,0.31,<empty>,20.92,18.145,18.98,19.16,19.48,3.0,0.22,0.42,"5,890",-100124.55,11641.98,31455.5,-7.94,-0.51,-2.35,1.96,21.6,18.03,21.6,-18.02,NaN,25 M
05/22/2026,1630,AR,36.75,-0.78%,Energy,.4239,0.99,$3.08,45.75,29.1,37.79,39.27,35.12,-3.0,-0.18,-0.71,"4,633,939",0.0,5284307.05,5571935.86,14.5,-15.26,2.25,-5.72,46.38,33.62,46.38,-36.11,45.0,"11,386 M"
05/22/2026,1630,ARE,48.37,+1.09%,Real Estate,1.175,1.17,$8.24,88.236,39.41,44.95,45.91,58.78,3.0,0.74,0.6,"1,394,012",-100849.19,2330259.77,2409624.78,-44.82,2.09,4.56,5.52,55.6,39.18,-39.18,-40.15,39.0,"8,429 M"
05/22/2026,1630,ARGT,90.40,-1.80%,,.9372,1.76,<empty>,103.9699,66.49,90.29,90.76,87.14,3.0,0.35,0.52,"69,349",100032.17,282421.07,258666.51,-84.85,3.11,1.02,2.54,97.32,83.57,97.32,-86.05,NaN,802 M
05/22/2026,1630,ARHS,6.32,-1.10%,Consumer Discretionary,2.333,0.58,$0.10,12.63,5.57,6.64,6.84,9.28,7.0,0.36,0.4,"770,399",-100165.06,1389476.77,1451014.9,-55.77,-3.22,-2.84,9.34,10.6,6.07,10.6,-6.02,51.0,895 M
05/22/2026,1630,ARKK,76.40,-0.29%,,1.979,1.84,<empty>,92.65,55.02,76.81,73.78,77.93,3.0,-0.65,0.36,"4,587,680",200150.44,9627798.7,9914024.14,-24.92,10.72,-3.44,3.47,81.09,63.38,81.09,81.09,NaN,"5,982 M"
05/22/2026,1630,ARQQ,17.49,+6.32%,Information Technology,2.708,1.42,($2.18),62.0,11.52,14.41,14.09,25.7,3.0,0.98,0.57,"2,184,784",200525.01,404738.12,363251.05,792.09,28.89,16.91,43.71,18.6,12.38,-12.38,-12.03,137.0,274 M
