Date,Time,Symbol,Beta,Market Cap,Long-term Debt to Capital - Current (LTM),Price / Earnings Ratio - Current,Price / Book Value Ratio - Current,Return on Equity (ROE) - Current (LTM),EPS,Div. Yield - Current,Sector,Free Cash Flow Per Share - Current (LTM)
05/15/2026,1630,ELV,.6255,"85,275 M",40.546,12.448,1.4495,12.086,23.6,2.3399,Health Care,$29.01
05/15/2026,1630,EMB,.3447,"13,979 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EMR,1.226,"74,521 M",23.589,30.324,3.6145,12.328,4.33,1.6524,Industrials,$5.55
05/15/2026,1630,ENB,.5816,"120,780 M",57.884,25.561,2.8322,10.127,2.118,5.0391,Energy,$0.41
05/15/2026,1630,ENPH,1.214,"6,971 M",35.202,37.064,4.5201,14.113,1.01,<empty>,Information Technology,$1.11
05/15/2026,1630,ENR,.7547,"1,151 M",<empty>,5.8786,6.4915,<empty>,2.73,7.3082,Consumer Staples,$2.31
05/15/2026,1630,ENVX,2.167,"1,333 M",67.521,-6.2301,4.4627,-71.313,-.81,<empty>,Industrials,($0.60)
05/15/2026,1630,ENZL,.8902,70 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EOG,.3141,"74,706 M",20.156,14.25,2.5017,18.195,10.17,2.791,Energy,$7.36
05/15/2026,1630,EPD,.4976,"84,875 M",50.629,14.029,2.7506,19.504,2.7,5.7875,Energy,$1.37
05/15/2026,1630,EPHE,.5935,132 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EPOL,1.062,613 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EPR,1.057,"4,388 M",57.42,15.421,1.6503,11.69,3.24,7.1157,Real Estate,$5.71
05/15/2026,1630,EPU,.7788,504 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EQR,.7738,"23,934 M",40.147,23.607,2.0802,<empty>,2.51,4.6999,Real Estate,<empty>
05/15/2026,1630,EQRR,.9198,55 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EQT,.5991,"35,164 M",15.77,12.068,1.5847,13.402,5.27,1.0135,Energy,$6.55
05/15/2026,1630,ESI,1.261,"10,314 M",41.999,55.607,3.0408,<empty>,.62,.93732,Materials,<empty>
05/15/2026,1630,ESPO,1.009,250 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,ESS,.7322,"17,162 M",50.527,27.221,2.8632,<empty>,8.89,4.2562,Real Estate,<empty>
05/15/2026,1630,ET,.5663,"69,339 M",58.538,16.123,2.1371,12.352,1.2,6.9171,Energy,$0.98
05/15/2026,1630,ETH,2.354,"2,020 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,ETH-USD,3.949,"-2,242 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,ETHA,2.21,"6,947 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,ETHE,3.274,"1,811 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,ETSY,1.774,"5,511 M",125.15,20.154,-4.1715,-29.576,2.48,<empty>,Consumer Discretionary,$6.75
05/15/2026,1630,EWA,.9923,"1,304 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWC,.8673,"5,411 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWD,1.095,301 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWG,.9607,"1,415 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWH,.3896,"1,032 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWI,.8838,640 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWJ,.6889,"21,119 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWJV,.4759,695 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWK,.6866,98 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWM,.4842,372 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWN,1.141,496 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWO,.8024,129 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWP,.6733,"1,727 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWQ,.8429,380 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWS,.5402,811 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWUS,1.035,41 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWW,.7821,"2,146 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWY,1.394,"22,465 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWZ,.6999,"10,572 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EWZS,.807,254 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EXAS,1.418,"20,026 M",50.547,-92.153,8.0706,-8.6585,-1.1,<empty>,Health Care,$1.89
05/15/2026,1630,EXP,1.369,"6,119 M",54.078,15.687,4.3664,<empty>,13.23,.48384,Materials,<empty>
05/15/2026,1630,EXPD,1.054,"20,331 M",15.822,23.144,8.2779,<empty>,6.19,1.0752,Industrials,$6.83
05/15/2026,1630,EXPE,1.256,"26,132 M",71.952,20.196,48.102,71.494,11.32,.72762,Consumer Discretionary,$33.16
05/15/2026,1630,EXR,1.202,"28,922 M",41.77,29.446,2.0772,6.8299,4.45,4.9417,Real Estate,<empty>
05/15/2026,1630,EYE,1.025,"1,398 M",<empty>,41.063,2.1135,<empty>,.57,<empty>,Consumer Discretionary,<empty>
05/15/2026,1630,EZA,.7866,721 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,F,1.712,"53,395 M",54.901,-7.5219,1.2278,-14.813,-1.55,5.1993,Consumer Discretionary,$2.40
