Date,Time,Symbol,Last,%Change,StandardDeviation,52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays
06/02/2026,1630,BEPC,39.37,+1.16%,1.35,45.18,29.058,37.66,39.22,39.15,-2.0,0.59,-0.93,"1,834,248",-200342.22,1539141.53,1521431.07,22.98,-2.57,8.28,-1.23,44.32,34.2,-34.2,40.03,41.0
06/02/2026,1630,BIDU,136.72,+3.26%,5.98,165.3,83.26,136.27,125.22,126.06,5.0,0.54,0.4,"2,346,170",-100260.12,2322856.81,2360351.77,-24.75,22.18,-0.72,3.54,152.13,106.44,152.13,-125.05,53.0
06/02/2026,1630,BIO,306.13,+0.22%,23.79,343.12,211.43,276.01,279.14,293.69,-3.0,1.0,-0.84,"405,372",100339.11,391574.12,367359.71,45.98,9.98,8.63,-3.8,313.29,237.13,-237.13,320.03,41.0
06/02/2026,1630,BIP,38.81,-0.18%,0.51,40.32,29.63,38.34,36.98,35.3,-7.0,-0.76,-0.5,"611,349",-100328.24,919507.81,980028.42,-24.45,6.77,0.52,-1.9,40.07,33.23,40.07,40.07,40.0
06/02/2026,1630,BIRK,43.41,-3.32%,5.34,57.2,31.12,38.68,38.02,41.47,-2.0,1.0,-0.92,"2,509,826",100850.08,2490749.02,2455947.78,5.05,21.56,35.15,-1.5,43.29,31.11,-31.11,46.02,50.0
06/02/2026,1630,BITO,9.17,-5.85%,0.48,23.49,8.61,10.57,10.25,13.65,-15.0,-0.61,-0.27,"240,750,562",-100249.01,1.2106171922E8,1.2261312314E8,95.63,-2.03,-12.58,-8.39,11.15,9.45,11.15,11.15,NaN
06/02/2026,1630,BJ,88.56,+0.59%,5.04,115.43,83.65,91.63,93.63,94.45,3.0,0.04,0.29,"2,962,032",-200232.05,2150992.4,2175804.97,77.22,-6.39,-8.73,2.98,102.62,84.04,-84.04,-84.04,54.0
06/02/2026,1630,BJRI,44.35,-5.07%,1.9,47.9899,28.46,43.2,39.62,37.41,-2.0,-0.96,-0.69,"321,693",100943.19,349395.18,374650.79,12.27,24.44,4.01,-4.62,45.06,33.55,-33.55,48.02,41.0
06/02/2026,1630,BKNG,167.21,-1.21%,6.01,233.576544,150.14,162.39,170.26,194.16,-1.0,0.68,-0.77,"6,723,868",0.0,7574402.36,7951992.42,-2.45,-0.1,7.83,-1.54,194.29,150.08,-150.08,-150.08,40.0
06/02/2026,1630,BKV,26.75,+0.72%,1.05,32.81,19.56,28.23,28.52,26.55,2.0,-0.01,0.19,"749,611",-100056.51,912727.27,1015955.15,33.54,-1.8,-7.02,0.45,32.19,26.33,32.19,-26.02,49.0
06/02/2026,1630,BLDR,75.37,-0.33%,2.94,151.03,65.1,74.35,80.28,107.26,-2.0,0.45,-0.62,"1,718,447",-300068.03,2553245.63,2637120.27,-45.18,-6.92,7.4,-1.76,99.61,65.08,-65.08,-65.08,40.0
06/02/2026,1630,BLK,1018.96,-0.17%,25.34,1219.9399,917.39,1066.01,1033.52,1076.19,-4.0,-0.63,-0.22,"717,917",0.0,684021.85,782630.6,48.19,6.43,-6.16,-2.63,1111.12,917.56,1111.12,1111.12,29.0
06/02/2026,1630,BLMN,7.81,-4.05%,0.26,10.7,5.19,7.94,6.75,6.81,-2.0,-0.77,-0.33,"1,443,452",101578.19,2491745.58,2868796.61,-46.84,42.52,2.09,-6.13,9.15,5.44,-5.44,9.02,44.0
06/02/2026,1630,BLOK,67.89,-1.22%,2.44,75.89,46.9,64.72,59.25,60.81,-1.0,0.94,-0.63,"216,809",-100043.06,314636.95,316518.6,-58.31,35.92,10.62,1.21,66.12,47.44,-47.44,-60.09,NaN
06/02/2026,1630,BNDD,98.4878,+0.16%,0.72,102.28,94.64,97.56,97.88,98.23,2.0,0.68,0.6,13,-100020.29,294.25,309.28,107.68,0.33,2.01,0.29,100.59,96.09,-96.09,-96.09,NaN
06/02/2026,1630,BNO,52.89,+0.76%,2.55,60.81,27.14,54.72,52.83,36.81,2.0,-0.04,0.19,"1,645,919",-300395.5,5529328.27,6459201.12,-38.19,5.09,-8.26,3.04,61.2,38.62,61.2,-50.02,NaN
06/02/2026,1630,BOOT,171.89,+1.21%,11.91,210.25,133.1797,157.18,157.77,177.22,10.0,0.8,0.97,"619,654",-200849.12,760655.66,736932.97,-59.69,19.78,21.83,0.66,190.62,133.41,-133.41,-138.09,41.0
06/02/2026,1630,BP,43.40,+1.07%,1.42,48.27,28.825,43.99,45.36,38.44,2.0,0.03,0.29,"7,402,732",-200239.43,1.26772094E7,1.39547682E7,61.11,-6.0,-5.01,4.35,48.43,38.62,48.43,-41.03,43.0
06/02/2026,1630,BRBR,9.04,-0.22%,0.33,63.52,8.1,9.34,13.44,25.05,15.0,0.31,0.71,"4,630,220",100988.19,4485747.65,4319906.83,22.12,-42.2,-2.38,4.39,19.53,8.03,19.53,11.17,42.0
06/02/2026,1630,BRCB,7.32,-8.96%,0.68,30.4,6.13,8.61,11.53,NaN,-1.0,0.33,-0.61,"981,112",-200780.13,598427.66,630493.5,180.35,-44.29,5.93,-13.88,18.53,6.07,-6.07,-6.07,48.0
06/02/2026,1630,BRKR,57.31,-1.93%,5.97,58.98,28.53,46.6,40.93,40.49,-1.0,1.0,-0.98,"2,535,956",200862.03,2303017.42,2282933.05,32.27,58.84,34.06,5.37,46.06,32.54,-32.54,59.02,43.0
06/02/2026,1630,BROS,57.86,-1.75%,3.04,77.88,44.58,54.03,53.62,56.64,-1.0,0.76,-0.89,"2,490,743",-100158.18,4172889.09,4100009.95,-49.9,14.44,9.71,2.3,60.18,45.45,60.18,-48.13,44.0
06/02/2026,1630,BTAL,11.48,-1.46%,0.35,19.0999,11.44,12.01,12.71,14.36,-8.0,-0.28,-0.44,"457,084",-300160.29,880088.9,958887.83,-35.49,-16.87,-8.01,-0.99,15.59,12.03,15.59,13.09,NaN
06/02/2026,1630,BTC,29.72,-5.98%,1.54,55.96,27.545,34.21,33.11,39.72,-15.0,-0.58,-0.32,"2,896,684",0.0,2206444.72,2736288.74,180.95,-1.46,-12.51,-8.33,36.15,29.45,36.15,36.15,NaN
06/02/2026,1630,BTC-USD,-83.81,+9.18%,7.06,18.685,-86.46,-62.96,-43.77,-18.65,-6.0,-0.03,-0.26,"839,888",-100367.09,972445.92,931956.44,-18.54,325.0,44.1,21.34,-11.56,-70.96,-12.0,-50.0,NaN
06/02/2026,1630,BTI,60.46,-0.89%,1.95,67.3,45.48,63.02,59.94,57.39,-10.0,-0.53,0.0,"4,104,520",100330.15,4009958.47,4353616.66,-45.03,4.44,-8.88,-3.91,67.12,55.29,67.12,67.12,40.0
06/02/2026,1630,BUD,80.58,+0.70%,1.29,84.46,56.97,81.28,76.08,68.17,-4.0,-0.64,-0.35,"1,679,596",100127.2,1838890.9,1940919.97,34.38,13.86,-0.91,-1.71,84.06,67.5,84.04,84.04,40.0
